id,title,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,is_best_movie_by_year,is_best_movie,is_best_show_by_year,is_best_show
ts20398,Kath & Kim,2002,,24,tt0272397,8.3,4168,0,0,0,0
tm110923,Divine Intervention,2002,,92,tt0274428,6.6,3598,0,0,0,0
tm55303,I Am Sam,2001,PG-13,132,tt0277027,7.6,149082,0,1,0,0
tm58382,Not Another Teen Movie,2001,R,89,tt0277371,5.7,104604,0,0,0,0
ts24028,Still Game,2002,TV-14,29,tt0281491,8.9,7539,0,0,0,0
tm192301,Minsara Kanavu,1997,G,145,tt0282003,6.7,1212,0,0,0,0
ts67595,Pedro El Escamoso,2001,TV-14,0,tt0283770,7.5,303,0,0,0,0
ts21664,One on One,2001,TV-14,20,tt0284770,7.0,2303,0,0,0,0
tm145593,Once Upon a Time in Mexico,2003,R,102,tt0285823,6.3,160449,0,0,0,0
tm326102,Qila,1998,,160,tt0286907,4.8,129,0,0,0,0
tm57169,Monty Python: Live at Aspen,1998,,58,tt0287570,7.8,1092,0,0,0,0
ts28516,Okupas,2000,TV-MA,40,tt0289649,9.0,2326,0,0,0,0
ts21034,InuYasha,2000,TV-14,25,tt0290223,7.9,15823,0,0,0,1
ts22267,Trailer Park Boys,2001,TV-MA,25,tt0290988,8.6,41791,0,0,1,1
tm61056,Dil Chahta Hai,2001,G,183,tt0292490,8.1,71167,0,1,0,0
ts31263,The Mole,2001,TV-14,52,tt0294149,7.6,1104,0,0,0,0
tm7951,Tim Allen: Rewires America,1991,PG,30,tt0294967,5.9,195,0,0,0,0
tm42831,Kyo Kii... Main Jhuth Nahin Bolta,2001,,149,tt0297241,5.3,2196,0,0,0,0
tm109304,The Ring,2002,PG-13,111,tt0298130,7.1,341888,0,1,0,0
tm342996,Duniya,1984,,170,tt0301231,6.2,241,0,0,0,0
tm44634,Kevin James: Sweat the Small Stuff,2001,,42,tt0305727,7.4,1083,0,0,0,0
tm21953,Sam Kinison: Breaking the Rules,1987,R,50,tt0307403,7.2,651,0,0,0,0
tm148379,The Cat in the Hat,2003,PG,81,tt0312528,4.0,81971,0,0,0,0
tm112235,Kannathil Muthamittal,2002,,137,tt0312859,8.4,8376,0,0,0,0
tm133767,Love Actually,2003,R,139,tt0314331,7.6,474176,0,1,0,0
tm137342,Tears of the Sun,2003,R,121,tt0314353,6.6,121066,0,0,0,0
tm66466,Wazir,2016,PG-13,103,tt0315642,7.2,18681,0,1,0,0
tm102287,Raya and Sakina,1953,,105,tt0316472,6.8,231,0,0,0,0
