id,country,production_id
ts53693,GB,3
ts57300,US,2
tm346467,US,2
tm366227,US,2
ts53076,US,2
ts78246,GB,3
tm275437,US,2
tm287041,KH,90
tm311456,TR,28
tm312577,JP,9
tm311921,US,2
tm257141,US,2
ts55668,DE,17
tm272666,PH,50
tm244380,PH,50
ts42155,US,2
ts41258,KR,38
ts131579,BE,14
ts57822,GB,3
ts55348,US,2
ts287559,US,2
tm315174,US,2
tm315174,GB,3
tm242736,US,2
ts53166,US,2
tm366567,US,2
tm307761,IN,4
tm253080,FR,5
tm411311,GB,3
tm295177,ES,18
tm284015,FR,5
tm284015,GE,60
tm284015,DE,17
tm538868,IN,4
tm285329,US,2
tm444247,US,2
tm327652,US,2
ts58297,CA,20
tm270895,BE,14
tm270895,FR,5
tm270895,US,2
tm245042,IN,4
tm283559,PL,62
tm464662,US,2
tm314477,ES,18
tm245050,NG,48
tm358746,CA,20
ts74917,AU,19
tm285107,GB,3
tm285107,US,2
tm540277,UY,32
tm242887,IN,4
ts42022,AR,12
tm864480,AR,12
tm864480,ES,18
ts56221,CN,54
tm240076,US,2
tm233463,TR,28
ts52829,GB,3
ts55559,US,2
tm458326,US,2
tm245148,US,2
tm327540,US,2
tm327540,CA,20
tm327540,GB,3
tm271974,DE,17
ts41260,KR,38
tm426638,IE,25
tm426638,GB,3
tm273933,US,2
ts42090,US,2
ts41154,ES,18
tm428557,US,2
tm286532,DE,17
tm307612,US,2
ts54100,US,2
ts54100,IT,11
tm242906,IN,4
tm350607,CA,20
tm350607,US,2
ts56748,US,2
ts56594,US,2
tm244079,MX,27
tm244842,PH,50
tm266685,US,2
tm244788,US,2
ts39014,JP,9
tm474695,ES,18
ts70529,NO,24
ts82268,IN,4
tm411508,IN,4
ts47714,CA,20
tm253083,US,2
ts51368,US,2
tm312738,IN,4
tm316567,JP,9
tm245271,JP,9
tm319310,IN,4
tm319470,US,2
tm319470,FR,5
tm319470,IE,25
ts51367,CA,20
tm366019,PH,50
tm239764,US,2
tm266629,US,2
tm244292,DE,17
tm307133,US,2
tm247642,DK,40
tm247642,US,2
tm270490,US,2
tm270555,US,2
tm270555,AT,49
ts129445,FR,5
ts9075,US,2
tm344886,IL,65
tm344886,MA,29
tm344886,US,2
tm344886,BG,83
tm344886,GB,3
tm311995,KR,38
tm239933,MX,27
tm315584,JP,9
tm266652,JP,9
tm298846,US,2
tm466426,US,2
ts42011,CA,20
tm307751,IN,4
tm375681,CN,54
tm375681,HK,13
ts57082,GB,3
tm263743,ID,51
tm327622,US,2
ts38813,AU,19
ts38813,US,2
ts38813,GB,3
tm446581,BR,23
tm461907,IN,4
tm235553,DE,17
tm267419,US,2
ts55194,US,2
tm406881,US,2
ts53155,GB,3
ts75897,US,2
